Timestamp,Event Type,Details
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:23,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:24,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:25,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:26,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:27,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:28,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:29,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:30,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:31,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:32,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:33,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:34,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:35,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:36,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:37,LOITERING,Track ID 7
2026-02-15 20:10:38,LOITERING,Track ID 7
2026-02-15 20:10:38,LOITERING,Track ID 7
2026-02-15 20:10:38,LOITERING,Track ID 7
2026-02-15 20:10:38,LOITERING,Track ID 7
